problemName,problemLink,problemCode,problemDifficulty,contestName,contestLink
Silly Mistake,http://codeforces.com/contest/1253/problem/B,B,1400,Codeforces Round #600 (Div. 2),http://codeforces.com/contest/1253
Character Swap (Easy Version),http://codeforces.com/contest/1243/problem/B1,B1,1000,Codeforces Round #599 (Div. 2),http://codeforces.com/contest/1243
Character Swap (Hard Version),http://codeforces.com/contest/1243/problem/B2,B2,1600,Codeforces Round #599 (Div. 2),http://codeforces.com/contest/1243
Restricted RPS,http://codeforces.com/contest/1245/problem/B,B,1200,Codeforces Round #597 (Div. 2),http://codeforces.com/contest/1245
Grow The Tree,http://codeforces.com/contest/1248/problem/B,B,900,Codeforces Round #594 (Div. 2),http://codeforces.com/contest/1248
Alice and the List of Presents,http://codeforces.com/contest/1236/problem/B,B,1500,Codeforces Round #593 (Div. 2),http://codeforces.com/contest/1236
Rooms and Staircases,http://codeforces.com/contest/1244/problem/B,B,1000,Codeforces Round #592 (Div. 2),http://codeforces.com/contest/1244
Filling the Grid,http://codeforces.com/contest/1228/problem/B,B,1400,Codeforces Round #589 (Div. 2),http://codeforces.com/contest/1228
Ania and Minimizing,http://codeforces.com/contest/1230/problem/B,B,1000,Codeforces Round #588 (Div. 2),http://codeforces.com/contest/1230
The Number of Products,http://codeforces.com/contest/1215/problem/B,B,1400,Codeforces Round #585 (Div. 2),http://codeforces.com/contest/1215
Mislove Has Lost an Array,http://codeforces.com/contest/1204/problem/B,B,900,Codeforces Round #581 (Div. 2),http://codeforces.com/contest/1204
Make Product Equal One,http://codeforces.com/contest/1206/problem/B,B,900,Codeforces Round #580 (Div. 2),http://codeforces.com/contest/1206
Block Adventure,http://codeforces.com/contest/1200/problem/B,B,1200,Codeforces Round #578 (Div. 2),http://codeforces.com/contest/1200
Zero Array,http://codeforces.com/contest/1201/problem/B,B,1500,Codeforces Round #577 (Div. 2),http://codeforces.com/contest/1201
Water Lily,http://codeforces.com/contest/1199/problem/B,B,1000,Codeforces Round #576 (Div. 2),http://codeforces.com/contest/1199
Sport Mafia,http://codeforces.com/contest/1195/problem/B,B,1000,Codeforces Round #574 (Div. 2),http://codeforces.com/contest/1195
Tokitsukaze and Mahjong,http://codeforces.com/contest/1191/problem/B,B,1200,Codeforces Round #573 (Div. 2),http://codeforces.com/contest/1191
Number Circle,http://codeforces.com/contest/1189/problem/B,B,1100,Codeforces Round #572 (Div. 2),http://codeforces.com/contest/1189
Nick and Array,http://codeforces.com/contest/1180/problem/B,B,1500,Codeforces Round #569 (Div. 2),http://codeforces.com/contest/1180
Email from Polycarp,http://codeforces.com/contest/1185/problem/B,B,1200,Codeforces Round #568 (Div. 2),http://codeforces.com/contest/1185
Split a Number,http://codeforces.com/contest/1181/problem/B,B,1500,Codeforces Round #567 (Div. 2),http://codeforces.com/contest/1181
Plus from Picture,http://codeforces.com/contest/1182/problem/B,B,1300,Codeforces Round #566 (Div. 2),http://codeforces.com/contest/1182
Nauuo and Chess,http://codeforces.com/contest/1173/problem/B,B,1100,Codeforces Round #564 (Div. 2),http://codeforces.com/contest/1173
Ehab Is an Odd Person,http://codeforces.com/contest/1174/problem/B,B,1200,Codeforces Round #563 (Div. 2),http://codeforces.com/contest/1174
